//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF
455       "Add Chain Lightning Improved"       70       103     0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3       0
456       "Add Red Storm Improved"             95       125     10      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3       0
457       "Add Magic Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
458       "Add Drain Life Improved"            35       57      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
459	  "Add Lesser Damage Improved"         3	55	17	0	5       4000	*      162      0          0           0               0              0                0       0       0       0       0       3       0
460	  "Add Lesser Defense Improved"        3	77	17	0	5       4000	*      163      0          0           0               0              0                0       0       0       0       0       3       0
461	  "Add Blind"                          0	115	25	3	0       10000	*      73       0          0           0               0              0                0       0       0       0       0       3       0
462	  "Add Drain Life Enhanced"            35	62	0	6	0       0	*      0        0          0           0               0              0                0       0       0       0       0       3       0
463	  "Add Blind Improved"                 0	126	27	3	0       10000	*      144      0          0           0               0              0                0       0       0       0       0       3       0
465       "Add Stick Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
466       "Add Book Damage"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
467       "Add Stick Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
468       "Add Book Mastery"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
469       "Add Sword Power Improved"           0        150     65      0       0       0       *      150      0          0           0               0              0                0       0       0       0       0       3       0
470       "Add Sword Power Enhanced"           0        165     82      0       0       0       *      151      0          0           0               0              0                0       0       0       0       0       3       0
471       "Add Min Magic Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
472	  "Add Sword Power Mastered"           0	181	90	5	0       0	*      152      0          0           0               0              0                0       0       0       0       0       3       0
473	  "Add Max Magic Damage"               0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       0       3       0
476	  "Add MG Wing Defense"                0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       3       0       0       0
478	  "Add MG Wing Damage"                 0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       3       0       0       0
479       "Add Cyclone Improved"               0        9       0       2       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0
480       "Add Lightning Improved"             17       20      0       6       0       0       2      0        0          0           0               0              0                0       0       0       3       0       0       0
481       "Add Twisting Slash Improved"        0        10      10      0       3       0       5      0        0          0           0               0              0                0       0       0       3       0       0       0
482       "Add Power Slash Improved"           0        15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0
483       "Add Flame Improved"                 25       55      0       0       6       0       3      0        0          0           0               0              0                0       0       0       3       0       0       0
484       "Add Blast Improved"                 70       165     0       0       6       0       2      0        0          0           0               0              0                0       0       0       3       0       0       0
485       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0
486       "Add Inferno Improved"               100      220     0       0       6       0       3      0        0          0           0               0              0                0       0       0       3       0       0       0
487       "Add Evil Spirit Improved"           45       108     0       0       6       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0
488       "Add Magic Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0
489       "Add Ice Improved"                   10       42      0       6       0       0       0      56       0          0           0               0              0                0       0       0       3       0       0       0
490       "Add Fire Slash Improved"            80       15      22      2       6       0       1      58       0          0           0               0              0                0       0       0       3       0       0       0
491	  "Add Ice Enhanced"                   1	46	0	6	0	0	0      56       0          0           0               0              0                0       0       0       3       0       0       0
492	  "Add Sword Slash Improved"           140	30	37	0	5	0	3      83       0          0           0               0              0                0       0       0       3       0       0       0
493	  "Add Fire Slash Enhanced"            80	17	24	2	6	0	1      164      0          0           0               0              0                0       0       0       3       0       0       0
494	  "Add Sword Slash Enhanced"           140	33	40	0	5	0	3      83       0          0           0               0              0                0       0       0       3       0       0       0
495	  "Add Earth Prison"                   26	180	15	0	4       10000	4      147      0          0           0               0              0                3       0       0       3       0       0       0
496	  "Add Lightning Storm Improved"       110	132	11	0	6	0	5      0        0          0           0               0              0                0       0       0       3       0       0       0
497	  "Add Earth Prison Improved"          26	198	17	0	4       10000	0      147      0          0           0               0              0                3       0       0       3       0       0       0
505	  "Add DL Wing Defense"                0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
506	  "Add Leadership"                     0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
507	  "Add DL Wing Damage"                 0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
508       "Add Fire Burst Improved"            100      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
509       "Add Force Wave Improved"            50       15      0       4       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
510       "Add Dark Horse Defense"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
511       "Add Greater C. D. Improved"         0        75      75      6       6       0       *      5        0          0           0               0              0                0       0       0       0       3       0       0
512       "Add Earthquake Improved"            150      0       75      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0       0
513       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
514       "Add Fire Burst Enhanced"            100      27      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
515       "Add Greater C. D. Enhanced"         0        82      82      6       6       0       *      5        0          0           0               0              0                0       0       0       0       3       0       0
516       "Add Earthquake Enhanced"            150      0       75      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0       0
517       "Add Greater C. D. Mastered"         0        100     100     6       6       0       *      148      0          0           0               0              0                0       0       0       0       3       0       0
518       "Add Fire Scream Improved"           130      45      11      4       6       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
519	  "Add Electric Spark Improved"        250	0	150	10	0       5000	*      0        0          0           0               0              0                0       0       0       0       3       0       0
520	  "Add Fire Scream Enhanced"           130	49	12	4	6	32	*      0        0          0           0               0              0                0       0       0       0       3       0       0
521	  "Add Iron Defense "                  0	64	29	0	0       60000	*      134      0          0           0               0              0                0       0       0       0       3       0       0
522	  "Add Greater C. D. Extended"         0	110	110	6	6	300	*      149      0          0           0               0              0                0       0       0       0       3       0       0
523	  "Add Birds Improved"                 190	75	22	0	6	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
524	  "Add Iron Defense Improved"          0	70	31	0       0       60000	*      165      0          0           0               0              0                0       0       0       0       3       0       0
526       "Add Dark Spirit Damage"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
527       "Add Scepter Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
528       "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
529       "Add Scepter Pet Damage"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
530       "Add Dark Spirit C. D. Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
531       "Add Scepter Mastery"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
532       "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
533       "Add Defense By Leadership"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
534       "Add Dark Spirit E. D. Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
535       "Add Pet Durability Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0
536	  "Add Dark Spirit Attack Speed"       0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
538	  "Add Dark Spirit D. D. Rate"         0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
539	  "Add Dark Spirit I. D. Rate"         0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0
549	  "Add RF Wing Defense"                0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       0       0       3
550	  "Add RF Wing Damage"                 0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       0       0       3
551       "Add Large Ring Blower Improved"     0        10      0       2       0       0       4      76       0          0           0               0              0                0       0       0       0       0       0       3
552       "Add Upper Beast Improved"           0        10      0       2       0       0       3      58       0          0           0               0              0                0       0       0       0       0       0       3
554       "Add Large Ring Blower Enhanced"     0        10      0       2       0       0       4      76       0          0           0               0              0                0       0       0       0       0       0       3
555       "Add Upper Beast Enhanced"           0        10      0       2       0       0       3      58       0          0           0               0              0                0       0       0       0       0       0       3
556       "Add Defense Success Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
557       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
558       "Add Chain Driver Improved"          0        22      22      4       0       700     0      86       0          0           0               0              0                0       0       0       0       0       0       3
559       "Add Dark Side Improved"             0        84      0       4       3       0       5      0        0          0           0               0              0                0       0       0       0       0       0       3
560       "Add Dragon Lore Improved"           0        60      33      3       5       700     4      0        0          0           0               0              0                0       0       0       0       0       0       3
561	  "Add Dragon Lore Enhanced"	       0	66	36	3	5       700	4      0        0          0           0               0              0                0       0       0       0       0       0       3
562	  "Add Chain Driver Enhanced"	       0	24	22	4	0       700	0      86       0          0           0               0              0                0       0       0       0       0       0       3
563	  "Add Dark Side Enhanced"	       0	92	0	4	4       0	5      0        0          0           0               0              0                0       0       0       0       0       0       3
564	  "Add Dragon Slayer Improved"	       0	110	110	4	0       3000	5      0        0          0           0               0              0                0       0       0       0       0       0       3
565	  "Add Blood Howling"		       0	100	200	4	0       120000	*      166      0          0           0               0              0                0       0       0       0       0       0       3
566	  "Add Dragon Slayer Enhanced"	       0	121	121	4	0       3000	5      0        0          0           0               0              0                0       0       0       0       0       0       3
567	  "Add Blood Howling Improved"	       0	110	220	4	0       120000	*      167      0          0           0               0              0                0       0       0       0       0       0       3
568       "Add Glove Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
569       "Add Greater D. S. Rate Improved"    0        55      11      0       5       0       *      153      0          0           0               0              0                0       0       0       0       0       0       3
571       "Add Glove Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
572       "Add Greater D. S. Rate Enhanced"    0        60      12      0       5       0       *      154      0          0           0               0              0                0       0       0       0       0       0       3
573       "Add Fitness Improved"               0        55      11      0       5       0       *      155      0          0           0               0              0                0       0       0       0       0       0       3
578       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
579       "Add Defense Success Rate PvP"       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
580       "Add Max SD"                         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
581       "Add MP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
582       "Add Poison Resistance"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
583       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
584       "Add SD Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
585       "Add HP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
586       "Add Lightning Resistance"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
587       "Add Defense"                        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
588       "Add BP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
589       "Add Ice Resistance"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
590       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
591       "Add Defense Success Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
593	  "Add Armor Set Bonus"	               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
594	  "Add Reflect Damage"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
595	  "Add Energy"		               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
596	  "Add Vitality"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
597	  "Add Agility"		               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
598	  "Add Strength"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
599       "Add Attack Success Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
600       "Add Max HP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
601       "Add Max MP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
602       "Add Max BP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
603       "Add Attack Success Rate PvP"        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
604       "Add MP Consumption Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
605       "Add Hunt SD"                        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
606       "Add Hunt HP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
607       "Add Min Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
608       "Add Hunt MP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
609	  "Add Max Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
610	  "Add Critical Damage Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
611	  "Add Restore MP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
612	  "Add Restore HP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
613	  "Add Excellent Damage Rate"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
614	  "Add Double Damage Rate"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
615	  "Add Ignore Defense Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
616	  "Add Restore SD Rate"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
617	  "Add Triple Damage Rate"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3
end
